dg_id,playerImage160,player_name,rounds,sg_mean,2017,2018,2019,2020,2021
14704,https://dkn.gs/sports/images/golf/players/160/730.png,"Putnam, Andrew",6,1.332,NA,NA,NA,CUT,T4
19195,https://dkn.gs/sports/images/golf/players/160/1173.png,"Rahm, Jon",0,NA,NA,NA,NA,NA,NA
18554,https://dkn.gs/sports/images/golf/players/160/861.png,"Rai, Aaron",0,NA,NA,NA,NA,NA,NA
7961,https://dkn.gs/sports/images/golf/players/160/936.png,"Reavie, Chez",6,-0.229,CUT,NA,NA,NA,T49
14838,https://dkn.gs/sports/images/golf/players/160/976.png,"Reed, Patrick",14,0.99,NA,T7,T50,T15,CUT
19872,https://dkn.gs/sports/images/countries/160/united_states.png,"Riley, Davis",0,NA,NA,NA,NA,NA,NA
16283,https://dkn.gs/sports/images/golf/players/160/574.png,"Rodgers, Patrick",18,0.139,CUT,T7,T46,T24,T57
6093,https://dkn.gs/sports/images/golf/players/160/734.png,"Rose, Justin",16,1.32,T13,3,T63,CUT,WD
16715,https://dkn.gs/sports/images/golf/players/160/610.png,"Ryder, Sam",6,-0.512,NA,NA,T33,CUT,NA
6283,https://dkn.gs/sports/images/golf/players/160/862.png,"Sabbatini, Rory",6,-0.233,NA,NA,NA,T47,CUT
18417,https://dkn.gs/sports/images/golf/players/160/607.png,"Scheffler, Scottie",4,1.652,NA,NA,NA,T15,NA
19477,https://dkn.gs/sports/images/countries/160/united_states.png,"Schenk, Adam",4,1.073,NA,NA,T29,NA,NA
7398,https://dkn.gs/sports/images/golf/players/160/938.png,"Schwartzel, Charl",10,-1.089,T45,CUT,NA,CUT,CUT
6430,https://dkn.gs/sports/images/golf/players/160/875.png,"Scott, Adam",6,-0.065,NA,T41,NA,CUT,NA
23482,https://dkn.gs/sports/images/countries/160/united_states.png,"Sigg, Greyson",0,NA,NA,NA,NA,NA,NA
18474,https://dkn.gs/sports/images/countries/160/united_states.png,"Smalley, Alex",0,NA,NA,NA,NA,NA,NA
8820,https://dkn.gs/sports/images/golf/players/160/690.png,"Snedeker, Brandt",14,-0.206,T28,CUT,T50,NA,T68
17536,https://dkn.gs/sports/images/golf/players/160/611.png,"Spaun, J.J.",8,-0.436,T49,NA,T63,NA,NA
12359,https://dkn.gs/sports/images/golf/players/160/535.png,"Stallings, Scott",6,0.092,NA,CUT,T40,NA,NA
